,Unnamed: 0,nct_id,nlm_download_date_description,study_first_submitted_date,results_first_submitted_date,disposition_first_submitted_date,last_update_submitted_date,study_first_submitted_qc_date,study_first_posted_date,study_first_posted_date_type,results_first_submitted_qc_date,results_first_posted_date,results_first_posted_date_type,disposition_first_submitted_qc_date,disposition_first_posted_date,disposition_first_posted_date_type,last_update_submitted_qc_date,last_update_posted_date,last_update_posted_date_type,start_month_year,start_date_type,start_date,verification_month_year,verification_date,completion_month_year,completion_date_type,completion_date,primary_completion_month_year,primary_completion_date_type,primary_completion_date,target_duration,study_type,acronym,baseline_population,brief_title,official_title,overall_status,last_known_status,phase,enrollment,enrollment_type,source,limitations_and_caveats,number_of_arms,number_of_groups,why_stopped,has_expanded_access,expanded_access_type_individual,expanded_access_type_intermediate,expanded_access_type_treatment,has_dmc,is_fda_regulated_drug,is_fda_regulated_device,is_unapproved_device,is_ppsd,is_us_export,biospec_retention,biospec_description,ipd_time_frame,ipd_access_criteria,ipd_url,plan_to_share_ipd,plan_to_share_ipd_description,created_at,updated_at,source_class,delayed_posting,expanded_access_nctid,expanded_access_status_for_nctid,fdaaa801_violation,baseline_type_units_analyzed
4779,4780,NCT04742842,,2021-01-28,,,2022-11-17,2021-02-03,2021-02-08,Actual,,,,,,,2022-11-17,2022-11-21,Actual,"June 21, 2021",Actual,2021-06-21,November 2022,2022-11-30,"July 30, 2023",Anticipated,2023-07-30,"July 30, 2022",Actual,2022-07-30,,Interventional,COVALIA,,The Safety and Immunogenicity of a DNA-based Vaccine (COVIGEN) in Healthy Volunteers,"A Phase I, Double-blind, Dose-ranging, Randomised, Placebo-controlled Trial to Study the Safety and Immunogenicity of a DNA-based Vaccine Against COVID-19 (COVIGEN) in Healthy Participants Aged 18 to 75 Years Old","Active, not recruiting",,Phase 1,68.0,Actual,University of Sydney,,5.0,,,False,,,,True,False,False,,,,,,,,,Undecided,,2023-06-16 21:34:32,2023-06-16 21:34:32,OTHER,,,,,
4834,4835,NCT03799510,,2019-01-08,,,2019-12-05,2019-01-09,2019-01-10,Actual,,,,,,,2019-12-05,2019-12-09,Actual,"December 13, 2018",Actual,2018-12-13,December 2019,2019-12-31,"August 7, 2019",Actual,2019-08-07,"July 1, 2019",Actual,2019-07-01,,Interventional,,,Anti-Schistosomiasis Vaccine: Sm14 Phase 2b-Sn in School Children,"Safety and Immunogenicity Evaluation of the Vaccine Candidate Sm14 Against Schistosomiasis in Senegalese School Children Healthy or Infected With S. Mansoni and/or S. Haematobium. A Comparative, Randomized, Controlled, Open-label Trial",Completed,,Phase 2,95.0,Actual,Oswaldo Cruz Foundation,,3.0,,,False,,,,True,False,False,,,,,,,,,No,,2023-06-16 21:35:15,2023-06-16 21:35:15,OTHER,,,,,
4906,4907,NCT01015703,,2009-11-17,2014-06-04,,2014-09-09,2009-11-17,2009-11-18,Estimate,2014-09-09,2014-09-15,Estimate,,,,2014-09-09,2014-09-15,Estimate,November 2009,,2009-11-30,September 2014,2014-09-30,June 2010,Actual,2010-06-30,June 2010,Actual,2010-06-30,,Interventional,,"Safety population, subjects who received at least one dose of test article",Open-label Safety and Tolerability Study of CoVaccine HT in Healthy Volunteers,"A Phase 1, Open-Label, Dose Escalation Study of the Safety and Tolerability of CoVaccine HT in Healthy Adult Volunteers",Completed,,Phase 1,50.0,Actual,BTG International Inc.,,1.0,,,False,,,,True,,,,,,,,,,,,,2023-06-16 01:07:51,2023-06-16 01:07:51,OTHER,,,,,
5878,5879,NCT00129116,,2005-08-10,2012-06-15,,2018-07-26,2005-08-10,2005-08-11,Estimate,2012-06-15,2012-07-23,Estimate,,,,2018-07-26,2018-08-27,Actual,"March 1, 2003",,2003-03-01,October 2016,2016-10-31,"December 16, 2003",Actual,2003-12-16,"December 1, 2003",Actual,2003-12-01,,Interventional,,,"3 Formulations of Hib-MenCY-TT Vaccine & 1 Formulation of Hib-MenC-TT Vaccine Compared to Licensed Meningococcal Serogroup C Conjugate Vaccine, Each Administered at 2,3,4 Mths of Age","A Phase II, Open (Partially Double-blind), Randomised, Controlled, Multicentre, Primary Vaccination Study to Evaluate the Immunogenicity, Reactogenicity and Safety of Three Different Formulations of GSK Biologicals' Combined Haemophilus Influenzae Type B-meningococcal Serogroups C and Y- Conjugate Vaccine and One Formulation of GSK Biologicals' Haemophilus Influenzae Type B-meningococcal Serogroup C Conjugate Vaccine Each Given Concomitantly With InfanrixTM Penta, Versus MeningitecTM, Given Concomitantly With InfanrixTM Hexa in Infants According to a 2-3-4 Month Schedule",Completed,,Phase 2,388.0,Actual,GlaxoSmithKline,,5.0,,,False,,,,,,,,,,,,,,,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,2023-06-16 21:47:54,2023-06-16 21:47:54,INDUSTRY,,,,,
6128,6129,NCT04090528,,2019-09-12,,,2022-11-21,2019-09-12,2019-09-16,Actual,,,,,,,2022-11-21,2022-11-22,Actual,"October 21, 2019",Actual,2019-10-21,November 2022,2022-11-30,December 2025,Anticipated,2025-12-31,December 2023,Anticipated,2023-12-31,,Interventional,,,"pTVG-HP DNA Vaccine With or Without pTVG-AR DNA Vaccine and Pembrolizumab in Patients With Castration-Resistant, Metastatic Prostate Cancer","Phase II Trial of pTVG-HP DNA Vaccine With or Without pTVG-AR DNA Vaccine and Pembrolizumab in Patients With Castration-Resistant, Metastatic Prostate Cancer",Recruiting,,Phase 2,60.0,Anticipated,"University of Wisconsin, Madison",,2.0,,,,,,,True,True,False,,,,,,,,,No,,2023-06-16 21:50:45,2023-06-16 21:50:45,OTHER,,,,,
6211,6212,NCT00095576,,2004-11-05,2011-07-20,,2015-10-05,2004-11-05,2004-11-08,Estimate,2011-07-20,2011-08-15,Estimate,,,,2015-10-05,2015-10-06,Estimate,November 2004,,2004-11-30,October 2015,2015-10-31,September 2009,Actual,2009-09-30,September 2007,Actual,2007-09-30,,Interventional,,,Investigation of V520 in an HIV Vaccine Proof-of-Concept Study (V520-023),"A Multicenter, Double-Blind, Randomized, Placebo-Controlled Phase II Proof-of-Concept Study to Evaluate the Safety and Efficacy of a 3-Dose Regimen of the Merck Adenovirus Serotype 5 HIV-1 Gag/Pol/Nef Vaccine (MRK AD5 HIV-1 Gag/Pol/Nef) in Adults at High Risk of HIV-1 Infection",Terminated,,Phase 2,3000.0,Actual,Merck Sharp & Dohme LLC,,2.0,,,False,,,,True,,,,,,,,,,,,,2023-06-16 21:51:51,2023-06-16 21:51:51,INDUSTRY,,,,,
6336,6337,NCT03682120,,2018-09-20,2021-04-22,,2021-04-22,2018-09-20,2018-09-24,Actual,2021-04-22,2021-05-17,Actual,,,,2021-04-22,2021-05-17,Actual,"November 2, 2018",Actual,2018-11-02,"September 13, 2018",2018-09-13,"April 30, 2020",Actual,2020-04-30,"April 30, 2020",Actual,2020-04-30,,Interventional,,The baseline analysis population includes all enrolled participants,Safety/Efficacy Study of Seqirus A/H7N9 IIV With or Without MF59(R) Adjuvant to Prevent Avian Influenza,"A Phase II Study in Healthy Adults 18-64 Years Old to Assess the Safety, Reactogenicity and Immunogenicity of a Seqirus A/H7N9 Inactivated Influenza Vaccine Administered Intramuscularly With or Without MF59(R) Adjuvant",Completed,,Phase 2,372.0,Actual,National Institute of Allergy and Infectious Diseases (NIAID),,4.0,,,False,,,,,True,False,,,False,,,,,,,,2023-06-16 21:53:19,2023-06-16 21:53:19,NIH,,,,,
6518,6519,NCT00391391,,2006-10-23,2011-10-12,2010-03-30,2011-11-21,2006-10-23,2006-10-24,Estimate,2011-10-12,2011-11-22,Estimate,2010-03-31,2010-04-02,Estimate,2011-11-21,2011-12-01,Estimate,October 2006,,2006-10-31,November 2011,2011-11-30,October 2007,Actual,2007-10-31,March 2007,Actual,2007-03-31,,Interventional,,,"Study of Inactivated, Split-Virion Influenza Vaccine Compared With Standard Fluzone Vaccine in Infants and Children","Immunogenicity and Safety of a Split, Inactivated, Trivalent Influenza Vaccine Administered by Intradermal Route in Comparison With Intramuscular Vaccination With Standard Fluzone® in Healthy Infants and Young Children.",Completed,,Phase 2,520.0,Actual,Sanofi,,4.0,,,False,,,,True,,,,,,,,,,,,,2023-06-16 21:56:03,2023-06-16 21:56:03,INDUSTRY,,,,,
6607,6608,NCT00388583,,2006-10-16,2011-07-14,2010-03-30,2012-04-13,2006-10-16,2006-10-17,Estimate,2011-08-10,2011-09-13,Estimate,2010-03-31,2010-04-02,Estimate,2012-04-13,2012-04-18,Estimate,September 2006,,2006-09-30,April 2012,2012-04-30,September 2008,Actual,2008-09-30,June 2007,Actual,2007-06-30,,Interventional,,,"Study of Inactivated, Split-Virion Influenza Vaccine Compared With Standard Fluzone Vaccine in Elderly Subjects","Immunogenicity and Safety of The Split, Inactivated, Trivalent Influenza Vaccine Administered by Intradermal Route in Comparison With Intramuscular Vaccination With Standard Fluzone® in Ambulatory Elderly Subjects",Completed,,Phase 2,817.0,Actual,Sanofi,,2.0,,,False,,,,,,,,,,,,,,,,,2023-06-16 21:57:17,2023-06-16 21:57:17,INDUSTRY,,,,,
6617,6618,NCT00387725,,2006-10-11,2014-11-14,,2014-11-14,2006-10-12,2006-10-13,Estimate,2014-11-14,2014-11-21,Estimate,,,,2014-11-14,2014-11-21,Estimate,November 2006,,2006-11-30,November 2014,2014-11-30,February 2008,Actual,2008-02-29,January 2008,Actual,2008-01-31,,Interventional,,,Study Evaluating Safety & Immunogenicity of rLP2086 Vaccine in Adolescents,"A Randomized, Observer-blinded, Parallel-group, Active-control, Phase ½ Trial Of The Safety, Immunogenicity, And Tolerability Of 20 Mg, 60 Mg, And 200 Mg Of Meningococcal Group B Rlp2086 Vaccine In Healthy Children And Adolescents Aged 8 To 14 Years",Completed,,Phase 2,127.0,Actual,Pfizer,,4.0,,,False,,,,True,,,,,,,,,,,,,2023-06-16 21:57:27,2023-06-16 21:57:27,INDUSTRY,,,,,
6622,6623,NCT01086566,,2010-03-11,,,2015-12-31,2010-03-11,2010-03-15,Estimate,,,,,,,2015-12-31,2016-01-01,Estimate,October 2010,,2010-10-31,May 2012,2012-05-31,February 2012,Actual,2012-02-29,February 2012,Actual,2012-02-29,,Interventional,,,Cellular and Humoral Immune Response to Primary and Secondary Immunization With Subvirion H5N1 Vaccines,Evaluation of the Safety and Cellular and Humoral Immune Response to Primary and Secondary Immunization With Subvirion H5N1 Vaccines Representing Different Clades,Completed,,Phase 1,95.0,Actual,National Institute of Allergy and Infectious Diseases (NIAID),,5.0,,,False,,,,,,,,,,,,,,,,,2023-06-16 21:57:29,2023-06-16 21:57:29,NIH,,,,,
6687,6688,NCT01091298,,2010-03-17,,,2011-06-07,2010-03-20,2010-03-24,Estimate,,,,,,,2011-06-07,2011-06-08,Estimate,April 2010,,2010-04-30,June 2011,2011-06-30,May 2010,Actual,2010-05-31,May 2010,Actual,2010-05-31,,Interventional,,,A Study to Evaluate the Safety of Tetravalent Rotavirus Vaccine in Healthy Indian Adult Male Volunteers,Phase I Randomized Double-blind Placebo-controlled Study to Evaluate the Safety and Tolerability of a Single Administration (10e6.25 FFU of Each Constituent Serotype Per 0.5 ml) of Live Attenuated Tetravalent (G1-G4) Bovine-human Reassortant Rotavirus Vaccine [BRV-TV] Administered to Healthy Indian Adult Males,Completed,,Phase 1,20.0,Anticipated,Shantha Biotechnics Limited,,2.0,,,False,,,,False,,,,,,,,,,,,,2023-06-16 21:58:29,2023-06-16 21:58:29,INDUSTRY,,,,,
6838,6839,NCT00380393,,2006-09-25,2017-08-25,2009-09-03,2018-06-04,2006-09-25,2006-09-26,Estimate,2018-06-04,2018-07-03,Actual,2009-09-03,2009-09-04,Estimate,2018-06-04,2018-07-03,Actual,"January 3, 2007",Actual,2007-01-03,November 2017,2017-11-30,"November 11, 2008",Actual,2008-11-11,"August 15, 2008",Actual,2008-08-15,,Interventional,,,"Efficacy of RTS,S/AS01 Vaccine Against Episodes of Malaria Due to P. Falciparum Infection in Children.","A Study of the Efficacy Against Episodes of Clinical Malaria Due to P. Falciparum Infection of GSK Biologicals Candidate Vaccine RTS,S/AS01, Administered According to a 0,1,2-months Schedule in Children Aged 5 to 17 Months Living in Tanzania & Kenya",Completed,,Phase 2,894.0,Actual,GlaxoSmithKline,,2.0,,,False,,,,,,,,,,,,,,,Yes,Patient-level data for this study will be made available through www.clinicalstudydatarequest.com following the timelines and process described on this site.,2023-06-16 22:00:59,2023-06-16 22:00:59,INDUSTRY,,,,,
7173,7174,NCT03583606,,2018-06-28,2021-01-07,,2021-05-06,2018-06-28,2018-07-11,Actual,2021-05-06,2021-06-02,Actual,,,,2021-05-06,2021-06-02,Actual,"November 12, 2018",Actual,2018-11-12,"July 15, 2020",2020-07-15,"January 14, 2020",Actual,2020-01-14,"January 14, 2020",Actual,2020-01-14,,Interventional,,,A Trial to Evaluate the Safety and Systems Biology Response of Ebolavirus Zaire Vaccine (ChAd3-EBO-Z),"A Systems Biology Phase 1 Evaluation of the Safety, Reactogenicity, and Immunogenicity of Chimpanzee Adenovirus Type 3- Vectored Zaire Ebolavirus (ChAd3-EBO-Z) and Modified Vaccinia Ankara- Vectored Multivalent Filovirus (MVA-BN(R)-Filo) Vaccine Candidates",Completed,,Phase 1,61.0,Actual,National Institute of Allergy and Infectious Diseases (NIAID),,3.0,,,False,,,,,True,False,,,False,,,,,,,,2023-06-16 22:06:00,2023-06-16 22:06:00,NIH,,,,,
7438,7439,NCT05868733,,2023-05-08,,,2023-05-19,2023-05-19,2023-05-22,Actual,,,,,,,2023-05-19,2023-05-22,Actual,July 2023,Anticipated,2023-07-31,May 2023,2023-05-31,February 2027,Anticipated,2027-02-28,August 2026,Anticipated,2026-08-31,,Interventional,,,A Lassa Fever Vaccine Trial in Adults and Children Residing in West Africa,"A Phase 2 Randomized, Double-Blinded, Placebo-Controlled Clinical Trial to Evaluate the Safety, Tolerability, and Immunogenicity of rVSV<U+2206>G-LASV-GPC Vaccine in Adults and Children Residing in West Africa",Not yet recruiting,,Phase 2,612.0,Anticipated,International AIDS Vaccine Initiative,,10.0,,,False,,,,,True,False,,,,,,,,,,,2023-06-16 22:08:22,2023-06-16 22:08:22,NETWORK,,,,,
7666,7667,NCT05644067,,2022-10-27,,,2023-05-19,2022-12-01,2022-12-09,Actual,,,,,,,2023-05-19,2023-05-22,Actual,July 2023,Anticipated,2023-07-31,October 2022,2022-10-31,May 2024,Anticipated,2024-05-31,May 2024,Anticipated,2024-05-31,,Interventional,SUM-101,,Assessment of the Malaria Vaccine Candidate SumayaVac-1 in Healthy Adults Aged 18-45 Years Living in a Malaria Endemic Country,"A Randomised, Controlled, Double-blind, Parallel Group, Single Center Phase Ib Trial to Assess Safety, Reactogenicity, Immunogenicity and Parasite Growth Rates After Controlled Human Malaria Infection of a Candidate Dual-stage Malaria Vaccine, SumayaVac-1 (MSP-1 With GLA-SE as Adjuvant) in Healthy Malaria Exposed Adults of African Origin Aged 18-45 Years",Not yet recruiting,,Phase 1,40.0,Anticipated,Swiss Tropical & Public Health Institute,,2.0,,,False,,,,True,False,False,,,,,,,,,No,,2023-06-16 22:10:16,2023-06-16 22:10:16,OTHER,,,,,
7686,7687,NCT05584202,,2022-10-14,,,2023-05-19,2022-10-14,2022-10-18,Actual,,,,,,,2023-05-19,2023-05-22,Actual,"September 30, 2022",Actual,2022-09-30,May 2023,2023-05-31,"March 8, 2025",Anticipated,2025-03-08,"March 8, 2024",Anticipated,2024-03-08,,Interventional,BabyCOVE,,"Study to Evaluate the Safety, Reactogenicity, and Effectiveness of mRNA-1273.214 SARS-CoV-2 (COVID-19) Vaccine in Infants","A Phase 2, Two-Part Study (Open-Label [Part 1] Followed by Observer-Blind/Randomized [Part 2]) to Evaluate the Safety, Tolerability, Reactogenicity, and Effectiveness of mRNA-1273.214 SARS-CoV-2 Vaccine in Participants Aged 12 Weeks to < 6 Months",Recruiting,,Phase 2,700.0,Anticipated,"ModernaTX, Inc.",,4.0,,,False,,,,True,True,False,,,,,,,,,,,2023-06-16 22:10:27,2023-06-16 22:10:27,INDUSTRY,,,,,
7806,7807,NCT05011123,,2021-08-17,,2023-05-16,2023-05-16,2021-08-17,2021-08-18,Actual,,,,2023-05-16,2023-05-22,Actual,2023-05-16,2023-05-22,Actual,"October 7, 2021",Actual,2021-10-07,January 2023,2023-01-31,"April 25, 2028",Anticipated,2028-04-25,"May 23, 2022",Actual,2022-05-23,,Interventional,,,Study on an Investigational Yellow Fever Vaccine Compared With Stamaril in Adults in Europe and Asia,Controlled Study of Immunogenicity and Safety of the Investigational vYF Candidate Vaccine in Comparison to Stamaril in Adults,"Active, not recruiting",,Phase 2,690.0,Actual,Sanofi,,2.0,,,False,,,,True,True,False,,,,,,,,,Yes,"Qualified researchers may request access to patient level data and related study documents including the clinical study report, study protocol with any amendments, blank case report form, statistical analysis plan, and dataset specifications. Patient level data will be anonymized and study documents will be redacted to protect the privacy of trial participants. Further details on Sanofi's data sharing criteria, eligible studies, and process for requesting access can be found at: https://vivli.org",2023-06-16 22:11:46,2023-06-16 22:11:46,INDUSTRY,,,,,
8095,8096,NCT05409261,,2022-04-01,,,2022-06-07,2022-06-07,2022-06-08,Actual,,,,,,,2022-06-07,2022-06-08,Actual,June 2022,Anticipated,2022-06-30,June 2022,2022-06-30,July 2024,Anticipated,2024-07-31,August 2022,Anticipated,2022-08-31,,Interventional,CoviCompMali,,Evaluation of the Immunogenicity and Safety of COVID-19 Vaccines (Ad26.COV2.S and NVX-CoV2373),Phase II Trial Evaluating the Immunogenicity and Safety of Ad26.COV2.S and NVX-CoV2373 Vaccines in Adult Participants in Mali,Not yet recruiting,,Phase 2,400.0,Anticipated,"ANRS, Emerging Infectious Diseases",,2.0,,,False,,,,,False,False,,,,,,,,,Yes,,2023-06-15 00:50:44,2023-06-15 00:50:44,OTHER_GOV,,,,,
8219,8220,NCT05409196,,2021-10-18,,,2022-06-03,2022-06-03,2022-06-08,Actual,,,,,,,2022-06-03,2022-06-08,Actual,"September 16, 2020",Actual,2020-09-16,June 2022,2022-06-30,"June 21, 2021",Actual,2021-06-21,"June 21, 2021",Actual,2021-06-21,,Interventional,,,"Phase 1 Trial for Safety, Tolerability, and Immunogenicity of a Live, Attenuated, Oral Shigella/ETEC Combination Vaccine to Healthy Adults","Phase 1 Two Stage Randomized, Double-blind, Placebo Controlled Dose- and Schedule Ranging Trial to Assess the Acute Safety, Tolerability, and Immunogenicity of a Live, Attenuated Shigella/ETEC Combination Vaccine Delivered Orally to Healthy Adults Age 18 to 45 Years Old",Completed,,Phase 1,84.0,Actual,Eveliqure Biotechnologies GmbH,,2.0,,,False,,,,,False,False,,,,,,,,,Undecided,,2023-06-15 00:50:47,2023-06-15 00:50:47,INDUSTRY,,,,,
8351,8352,NCT04977479,,2021-07-24,,,2023-03-21,2021-07-24,2021-07-27,Actual,,,,,,,2023-03-21,2023-03-23,Actual,"September 8, 2021",Actual,2021-09-08,January 2023,2023-01-31,"February 22, 2023",Actual,2023-02-22,"June 17, 2022",Actual,2022-06-17,,Interventional,,,The Safety of Administering a Second Dose of a COVID-19 mRNA Vaccine in Individuals Who Experienced a Systemic Allergic Reaction to an Initial Dose,"A Randomized, Placebo-controlled Crossover Study to Assess the Safety of Administering a Second Dose of a COVID-19 mRNA Vaccine in Individuals Who Experienced a Systemic Allergic Reaction to an Initial Dose",Completed,,Phase 2,17.0,Actual,National Institutes of Health Clinical Center (CC),,2.0,,,False,,,,,True,False,,,,,,,,,,,2023-06-16 22:17:40,2023-06-16 22:17:40,NIH,,,,,
8452,8453,NCT04520659,,2020-08-13,,,2023-03-21,2020-08-18,2020-08-20,Actual,,,,,,,2023-03-21,2023-03-23,Actual,"February 23, 2022",Actual,2022-02-23,March 2023,2023-03-31,December 2024,Anticipated,2024-12-31,June 2024,Anticipated,2024-06-30,,Interventional,,,"Evaluating the Infectivity, Safety and Immunogenicity of a Recombinant Live-Attenuated Respiratory Syncytial Virus Vaccine, LID/<U+0394>M2-2/1030s, in RSV-Seronegative Infants and Children 6 to 24 Months of Age","Phase Ib Placebo-Controlled Study of the Infectivity, Safety and Immunogenicity of a Single Dose of a Recombinant Live-Attenuated Respiratory Syncytial Virus Vaccine, LID/<U+0394>M2-2/1030s, Lot RSV#010A, Delivered as Nose Drops to RSV-Seronegative Infants and Children 6 to 24 Months of Age",Recruiting,,Phase 1,81.0,Anticipated,National Institute of Allergy and Infectious Diseases (NIAID),,4.0,,,False,,,,True,True,False,,,,,,After publication,Qualified researchers,,Yes,Qualified researchers may request access to IPD that underlie results in a publication. Patient level data will be anonymized and study documents will be redacted to protect the privacy of trial participants.,2023-06-16 22:18:41,2023-06-16 22:18:41,NIH,,,,,
8660,8661,NCT01893554,,2013-07-02,,,2023-03-21,2013-07-02,2013-07-09,Estimate,,,,,,,2023-03-21,2023-03-23,Actual,"June 1, 2013",Actual,2013-06-01,March 2023,2023-03-31,"October 1, 2025",Anticipated,2025-10-01,"April 30, 2023",Anticipated,2023-04-30,,Interventional,,,Evaluating the Safety and Immune Response to a Single Dose of a Respiratory Syncytial Virus (RSV) Vaccine in Infants and Children,"A Phase I Study of the Safety and Immunogenicity of a Single Dose of the Recombinant Live-Attenuated Respiratory Syncytial Virus Vaccine RSV <U+0394>NS2 <U+0394>1313 I1314L, Lot RSV#006A, Delivered as Nose Drops to RSV-Seropositive Children 12 to 59 Months of Age, RSV-Seronegative Infants and Children 6 to 24 Months of Age, and Infants 4 to 6 Months of Age","Active, not recruiting",,Phase 1,88.0,Actual,National Institute of Allergy and Infectious Diseases (NIAID),,8.0,,,False,,,,True,,,,,,,,,,,,,2023-06-16 22:21:16,2023-06-16 22:21:16,NIH,,,,,
8997,8998,NCT03481816,,2018-03-28,2020-09-25,,2021-04-28,2018-03-28,2018-03-29,Actual,2020-11-30,2020-12-22,Actual,,,,2021-04-28,2021-05-19,Actual,"July 24, 2018",Actual,2018-07-24,April 2021,2021-04-30,"March 9, 2021",Actual,2021-03-09,"January 15, 2020",Actual,2020-01-15,,Interventional,,We did not need to dose de-escalate since none of patient's had dose limiting toxicity (DLT) so all patients received planned higher starting dose in Arm 1/Dose De-escalation Arm/Group.,Treatment of Castration Resistant Prostate Cancer Using Multi-Targeted Recombinant Ad5 PSA/MUC1/Brachyury Based Immunotherapy Vaccines,Treatment of Patients With Castration Resistant Prostate Cancer Using a Multi-Targeted Recombinant Ad5 PSA/MUC1/Brachyury Based Immunotherapy Vaccines,Completed,,Phase 1,18.0,Actual,National Institutes of Health Clinical Center (CC),,2.0,,,False,,,,False,True,False,,,,,,,,,No,,2023-06-16 22:25:24,2023-06-16 22:25:24,NIH,,,,,
